,x_original,y_original,x_recta,y_recta
719,579,37,552,228
721,579,37,552,227
723,579,37,552,226
725,579,37,552,225
727,579,37,553,224
729,579,37,553,223
731,579,37,553,222
733,579,37,553,221
735,579,37,553,220
737,579,37,553,219
739,579,37,553,218
741,579,37,554,217
743,579,37,554,216
745,579,37,554,215
747,579,37,554,214
749,579,37,554,213
751,579,37,554,212
753,579,37,554,211
755,579,37,555,210
757,579,37,555,209
759,579,37,555,208
761,579,37,555,207
763,579,37,555,206
765,579,37,555,205
767,579,37,555,204
769,579,37,556,203
771,579,37,556,202
773,579,37,556,201
775,579,37,556,200
777,579,37,556,199
779,579,37,556,198
781,579,37,556,197
783,579,37,557,196
785,579,37,557,195
787,579,37,557,194
789,579,37,557,193
791,579,37,557,192
793,579,37,557,191
795,579,37,557,190
797,579,37,558,189
799,579,37,558,188
801,579,37,558,187
803,579,37,558,186
805,579,37,558,185
807,579,37,558,184
809,579,37,558,183
811,579,37,559,182
813,579,37,559,181
815,579,37,559,180
817,579,37,559,179
819,579,37,559,178
821,579,37,559,177
823,579,37,559,176
825,579,37,560,175
827,579,37,560,174
829,579,37,560,173
831,579,37,560,172
833,579,37,560,171
834,579,37,640,164
836,579,37,640,165
838,579,37,641,166
840,579,37,641,167
842,579,37,642,168
844,579,37,642,169
846,579,37,643,170
848,579,37,643,171
850,579,37,643,172
852,579,37,644,173
854,579,37,644,174
856,579,37,645,175
858,579,37,645,176
860,579,37,646,177
862,579,37,646,178
864,579,37,647,179
866,579,37,647,180
868,579,37,648,181
870,579,37,648,182
872,579,37,649,183
874,579,37,649,184
876,579,37,650,185
878,579,37,650,186
880,579,37,651,187
882,579,37,651,188
884,579,37,652,189
886,579,37,652,190
888,579,37,653,191
890,579,37,653,192
892,579,37,653,193
894,579,37,654,194
896,579,37,654,195
898,579,37,655,196
900,579,37,655,197
902,579,37,656,198
904,579,37,656,199
906,579,37,657,200
908,579,37,657,201
910,579,37,658,202
912,579,37,658,203
914,579,37,659,204
916,579,37,659,205
918,579,37,660,206
920,579,37,660,207
922,579,37,661,208
924,579,37,661,209
926,579,37,662,210
928,579,37,662,211
930,579,37,662,212
932,579,37,663,213
934,579,37,663,214
936,579,37,664,215
938,579,37,664,216
940,579,37,665,217
942,579,37,665,218
944,579,37,666,219
946,579,37,666,220
948,579,37,667,221
950,579,37,667,222
952,579,37,668,223
954,579,37,668,224
956,579,37,669,225
958,579,37,669,226
960,579,37,670,227
962,579,37,670,228
964,579,37,671,229
966,579,37,671,230
968,579,37,672,231
970,579,37,672,232
972,579,37,672,233
974,579,37,673,234
976,579,37,673,235
978,579,37,674,236
980,579,37,674,237
982,579,37,675,238
984,579,37,675,239
986,579,37,676,240
988,579,37,676,241
990,579,37,677,242
992,579,37,677,243
994,579,37,678,244
996,579,37,678,245
998,579,37,679,246
1000,579,37,679,247
1002,579,37,680,248
1004,579,37,680,249
1006,579,37,681,250
1008,579,37,681,251
1010,579,37,681,252
1012,579,37,682,253
1014,579,37,682,254
1016,579,37,683,255
1018,579,37,683,256
1020,579,37,684,257
1022,579,37,684,258
1024,579,37,685,259
1026,579,37,685,260
1028,579,37,686,261
1030,579,37,686,262
1032,579,37,687,263
1034,579,37,687,264
1036,579,37,688,265
1038,579,37,688,266
1040,579,37,689,267
1042,579,37,689,268
1044,579,37,690,269
1046,579,37,690,270
1048,579,37,691,271
1050,579,37,691,272
1052,579,37,691,273
1054,579,37,692,274
1056,579,37,692,275
1058,579,37,693,276
1060,579,37,693,277
1062,579,37,694,278
1064,579,37,694,279
1066,579,37,695,280
1068,579,37,695,281
1070,579,37,696,282
1072,579,37,696,283
1074,579,37,697,284
1076,579,37,697,285
1078,579,37,698,286
1080,579,37,698,287
1082,579,37,699,288
1084,579,37,699,289
1086,579,37,700,290
1088,579,37,700,291
1090,579,37,700,292
1092,579,37,701,293
1094,579,37,701,294
1096,579,37,702,295
1098,579,37,702,296
1100,579,37,703,297
1102,579,37,703,298
1104,579,37,704,299
1106,579,37,704,300
1108,579,37,705,301
1110,579,37,705,302
1112,579,37,706,303
1114,579,37,706,304
1116,579,37,707,305
1118,579,37,707,306
1120,579,37,708,307
1122,579,37,708,308
1124,579,37,709,309
1126,579,37,709,310
1128,579,37,710,311
1130,579,37,710,312
1132,579,37,710,313
1134,579,37,711,314
1136,579,37,711,315
1138,579,37,712,316
1140,579,37,712,317
1142,579,37,713,318
1144,579,37,713,319
1146,579,37,714,320
1148,579,37,714,321
1150,579,37,715,322
1152,579,37,715,323
1154,579,37,716,324
1156,579,37,716,325
1158,579,37,717,326
1160,579,37,717,327
1162,579,37,718,328
1164,579,37,718,329
1166,579,37,719,330
1168,579,37,719,331
1170,579,37,719,332
1172,579,37,720,333
1174,579,37,720,334
1176,579,37,721,335
1178,579,37,721,336
1180,579,37,722,337
1182,579,37,722,338
1184,579,37,723,339
1186,579,37,723,340
1188,579,37,724,341
1190,579,37,724,342
1192,579,37,725,343
1194,579,37,725,344
1196,579,37,726,345
1198,579,37,726,346
1200,579,37,727,347
1202,579,37,727,348
1204,579,37,728,349
1206,579,37,728,350
1208,579,37,729,351
1210,579,37,729,352
1212,579,37,729,353
1214,579,37,730,354
1216,579,37,730,355
1218,579,37,731,356
1220,579,37,731,357
1222,579,37,732,358
1224,579,37,732,359
1226,579,37,733,360
1228,579,37,733,361
1230,579,37,734,362
1232,579,37,734,363
1234,579,37,735,364
1236,579,37,735,365
1238,579,37,736,366
1240,579,37,736,367
1242,579,37,737,368
1244,579,37,737,369
1246,579,37,738,370
1248,579,37,738,371
1250,579,37,738,372
1252,579,37,739,373
1254,579,37,739,374
1256,579,37,740,375
1258,579,37,740,376
1260,579,37,741,377
1262,579,37,741,378
1264,579,37,742,379
1266,579,37,742,380
1268,579,37,743,381
1270,579,37,743,382
1272,579,37,744,383
1274,579,37,744,384
1276,579,37,745,385
1278,579,37,745,386
1280,579,37,746,387
1282,579,37,746,388
1284,579,37,747,389
1286,579,37,747,390
1288,579,37,748,391
1290,579,37,748,392
1292,579,37,748,393
1294,579,37,749,394
1296,579,37,749,395
1298,579,37,750,396
1300,579,37,750,397
1302,579,37,751,398
1304,579,37,751,399
1306,579,37,752,400
1308,579,37,752,401
1310,579,37,753,402
1312,579,37,753,403
1314,579,37,754,404
1316,579,37,754,405
1318,579,37,755,406
1320,579,37,755,407
1322,579,37,756,408
1324,579,37,756,409
1326,579,37,757,410
1328,579,37,757,411
1330,579,37,757,412
1332,579,37,758,413
1334,579,37,758,414
1336,579,37,759,415
1338,579,37,759,416
1340,579,37,760,417
